 time            vo              q               p1              p2             
 0.00000000e+00  0.00000000e+00  5.91581002e-08  0.00000000e+00  1.20000000e+00 
 1.00000000e-12 -2.23211198e-19  5.91581056e-08  0.00000000e+00  1.18800000e+00 
 2.00000000e-12 -6.17079184e-19  5.91581097e-08  0.00000000e+00  1.17600000e+00 
 4.00000000e-12 -9.50318669e-19  5.91581006e-08  0.00000000e+00  1.15200000e+00 
 8.00000000e-12 -7.47134880e-19  5.91580955e-08  0.00000000e+00  1.10400000e+00 
 1.60000000e-11 -8.99352486e-19  5.91581018e-08  0.00000000e+00  1.00800000e+00 
 3.20000000e-11 -3.65112519e-18  5.91581068e-08  0.00000000e+00  8.16000000e-01 
 3.64166667e-11 -2.03955125e-18  5.91580887e-08  0.00000000e+00  7.63000000e-01 
 4.41458333e-11 -1.02015749e-18  5.91581006e-08  0.00000000e+00  6.70250000e-01 
 5.27031250e-11 -1.05172577e-11  5.91568080e-08  0.00000000e+00  5.67562500e-01 
 6.98177083e-11 -3.81829940e-11  5.91592571e-08  0.00000000e+00  3.62187500e-01 
 1.00000000e-10 -9.17319074e-11  5.91582315e-08  0.00000000e+00  0.00000000e+00 
 1.03422917e-10 -9.81492168e-11  5.91579132e-08  0.00000000e+00  0.00000000e+00 
 1.10268750e-10 -1.10983835e-10  5.91577353e-08  0.00000000e+00  0.00000000e+00 
 1.23960417e-10 -1.36653074e-10  5.91579462e-08  0.00000000e+00  0.00000000e+00 
 1.51343750e-10 -1.87991552e-10  5.91581627e-08  0.00000000e+00  0.00000000e+00 
 2.06110417e-10 -2.90668508e-10  5.91581540e-08  0.00000000e+00  0.00000000e+00 
 3.15643750e-10 -4.96022420e-10  5.91581004e-08  0.00000000e+00  0.00000000e+00 
 5.34710417e-10 -9.06730242e-10  5.91580964e-08  0.00000000e+00  0.00000000e+00 
 9.72843750e-10 -1.72814586e-09  5.91580997e-08  0.00000000e+00  0.00000000e+00 
 1.84911042e-09 -3.37097699e-09  5.91581005e-08  0.00000000e+00  0.00000000e+00 
 3.60164375e-09 -6.65663881e-09  5.91580999e-08  0.00000000e+00  0.00000000e+00 
 5.00000000e-09 -9.27828653e-09  5.91581000e-08  0.00000000e+00  0.00000000e+00 
 5.01000000e-09 -9.29703745e-09  1.37360804e-05  1.20000000e-01  0.00000000e+00 
 5.03000000e-09 -9.33453346e-09 -9.54626580e-06  3.60000000e-01  0.00000000e+00 
 5.03479167e-09 -9.34351606e-09 -1.00442871e-05  4.17500000e-01  0.00000000e+00 
 5.04317708e-09 -9.35923524e-09 -1.18850101e-05  5.18125000e-01  0.00000000e+00 
 5.05246094e-09 -9.38804325e-09 -2.73190525e-05  6.29531250e-01  0.00000000e+00 
 5.06130826e-09 -9.41932575e-09 -6.17096444e-05  7.35699074e-01  0.00000000e+00 
 5.06920577e-09 -9.44837556e-09 -1.06288904e-04  8.30469183e-01  0.00000000e+00 
 5.07842976e-09 -9.48269743e-09 -1.39201650e-04  9.41157136e-01  0.00000000e+00 
 5.08871302e-09 -9.52110232e-09 -1.64953607e-04  1.06455629e+00  0.00000000e+00 
 5.09688168e-09 -9.55164223e-09 -1.48525124e-04  1.16258011e+00  0.00000000e+00 
 5.10000000e-09 -9.56330349e-09 -8.46143139e-05  1.20000000e+00  0.00000000e+00 
 5.10073514e-09 -9.56605271e-09 -7.32653139e-05  1.20000000e+00  0.00000000e+00 
 5.10220543e-09 -9.57155091e-09 -5.87101198e-06  1.20000000e+00  0.00000000e+00 
 5.10463673e-09 -9.58064201e-09  1.82967949e-04  1.20000000e+00  0.00000000e+00 
 5.10773318e-09 -9.59221869e-09  4.04740124e-04  1.20000000e+00  0.00000000e+00 
 5.11340789e-09 -9.61343001e-09  5.81702062e-04  1.20000000e+00  0.00000000e+00 
 5.11954361e-09 -9.63635778e-09  5.68816715e-04  1.20000000e+00  0.00000000e+00 
 5.12546140e-09 -9.65846453e-09  5.82091886e-04  1.20000000e+00  0.00000000e+00 
 5.13007254e-09 -9.67568555e-09  4.21269159e-04  1.20000000e+00  0.00000000e+00 
 5.13547553e-09 -9.69585883e-09  3.91675750e-05  1.20000000e+00  0.00000000e+00 
 5.14049000e-09 -9.71457660e-09 -2.91551309e-04  1.20000000e+00  0.00000000e+00 
 5.14802211e-09 -9.74268327e-09 -4.59047186e-04  1.20000000e+00  0.00000000e+00 
 5.15410702e-09 -9.76538188e-09 -3.71311805e-04  1.20000000e+00  0.00000000e+00 
 5.16124058e-09 -9.79198346e-09 -2.06130263e-04  1.20000000e+00  0.00000000e+00 
 5.16890308e-09 -9.82054698e-09 -7.28921632e-05  1.20000000e+00  0.00000000e+00 
 5.17825877e-09 -9.85540735e-09  5.90434539e-06  1.20000000e+00  0.00000000e+00 
 5.19004806e-09 -9.89931234e-09  3.12846021e-05  1.20000000e+00  0.00000000e+00 
 5.20646416e-09 -9.96040518e-09  2.45532812e-05  1.20000000e+00  0.00000000e+00 
 5.23150590e-09 -1.00535020e-08  8.25891758e-06  1.20000000e+00  0.00000000e+00 
 5.27687108e-09 -1.02218581e-08 -1.77945814e-06  1.20000000e+00  0.00000000e+00 
 5.33586839e-09 -1.04402345e-08 -1.95024105e-06  1.20000000e+00  0.00000000e+00 
 5.43197606e-09 -1.07945981e-08 -4.02343583e-07  1.20000000e+00  0.00000000e+00 
 5.56627590e-09 -1.12869408e-08  1.15606794e-07  1.20000000e+00  0.00000000e+00 
 5.79057862e-09 -1.21019092e-08  1.07778177e-07  1.20000000e+00  0.00000000e+00 
 6.12362844e-09 -1.32952954e-08  6.37600501e-08  1.20000000e+00  0.00000000e+00 
 6.68652190e-09 -1.52678071e-08  5.77850050e-08  1.20000000e+00  0.00000000e+00 
 7.54867181e-09 -1.81840086e-08  5.89550906e-08  1.20000000e+00  0.00000000e+00 
 8.99449484e-09 -2.28036557e-08  5.91711929e-08  1.20000000e+00  0.00000000e+00 
 1.06681541e-08 -2.77538640e-08  5.91600242e-08  1.20000000e+00  0.00000000e+00 
 1.26447429e-08 -3.30943048e-08  5.91581063e-08  1.20000000e+00  0.00000000e+00 
 1.47826044e-08 -3.83087573e-08  5.91581149e-08  1.20000000e+00  0.00000000e+00 
 1.71604894e-08 -4.34922835e-08  5.91581127e-08  1.20000000e+00  0.00000000e+00 
 1.97082065e-08 -4.84044115e-08  5.91581069e-08  1.20000000e+00  0.00000000e+00 
 2.24946907e-08 -5.31080106e-08  5.91581045e-08  1.20000000e+00  0.00000000e+00 
 2.54764494e-08 -5.74663948e-08  5.91581030e-08  1.20000000e+00  0.00000000e+00 
 2.87122469e-08 -6.15161782e-08  5.91581020e-08  1.20000000e+00  0.00000000e+00 
 3.21767406e-08 -6.51836837e-08  5.91581015e-08  1.20000000e+00  0.00000000e+00 
 3.59246849e-08 -6.84966378e-08  5.91581009e-08  1.20000000e+00  0.00000000e+00 
 3.99480813e-08 -7.14244038e-08  5.91581007e-08  1.20000000e+00  0.00000000e+00 
 4.43041022e-08 -7.39941093e-08  5.91581006e-08  1.20000000e+00  0.00000000e+00 
 4.90038951e-08 -7.62032660e-08  5.91581003e-08  1.20000000e+00  0.00000000e+00 
 5.41146339e-08 -7.80810619e-08  5.91581003e-08  1.20000000e+00  0.00000000e+00 
 5.96722673e-08 -7.96424229e-08  5.91581004e-08  1.20000000e+00  0.00000000e+00 
 6.57657777e-08 -8.09187499e-08  5.91581002e-08  1.20000000e+00  0.00000000e+00 
 7.24691011e-08 -8.19348546e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 7.99150773e-08 -8.27233031e-08  5.91581000e-08  1.20000000e+00  0.00000000e+00 
 8.82453933e-08 -8.33134419e-08  5.91581002e-08  1.20000000e+00  0.00000000e+00 
 9.76844065e-08 -8.37373783e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 1.07684406e-07 -8.40066575e-08  5.91581002e-08  1.20000000e+00  0.00000000e+00 
 1.17684406e-07 -8.41623561e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 1.27684406e-07 -8.42507349e-08  5.91581002e-08  1.20000000e+00  0.00000000e+00 
 1.37684406e-07 -8.43001890e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 1.47684406e-07 -8.43275484e-08  5.91581002e-08  1.20000000e+00  0.00000000e+00 
 1.57684406e-07 -8.43425442e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 1.67684406e-07 -8.43507003e-08  5.91581002e-08  1.20000000e+00  0.00000000e+00 
 1.77684406e-07 -8.43551073e-08  5.91581000e-08  1.20000000e+00  0.00000000e+00 
 1.87684406e-07 -8.43574753e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 1.97684406e-07 -8.43587416e-08  5.91581000e-08  1.20000000e+00  0.00000000e+00 
 2.07684406e-07 -8.43594159e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 2.17684406e-07 -8.43597736e-08  5.91580999e-08  1.20000000e+00  0.00000000e+00 
 2.27684406e-07 -8.43599627e-08  5.91580998e-08  1.20000000e+00  0.00000000e+00 
 2.37684406e-07 -8.43600624e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 2.47684406e-07 -8.43601148e-08  5.91581000e-08  1.20000000e+00  0.00000000e+00 
 2.57684406e-07 -8.43601423e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 2.67684406e-07 -8.43601567e-08  5.91581002e-08  1.20000000e+00  0.00000000e+00 
 2.77684406e-07 -8.43601642e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 2.87684406e-07 -8.43601681e-08  5.91581002e-08  1.20000000e+00  0.00000000e+00 
 2.97684406e-07 -8.43601701e-08  5.91581000e-08  1.20000000e+00  0.00000000e+00 
 3.07684406e-07 -8.43601712e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 3.17684406e-07 -8.43601717e-08  5.91581002e-08  1.20000000e+00  0.00000000e+00 
 3.27684406e-07 -8.43601720e-08  5.91580998e-08  1.20000000e+00  0.00000000e+00 
 3.37684406e-07 -8.43601721e-08  5.91581002e-08  1.20000000e+00  0.00000000e+00 
 3.47684406e-07 -8.43601722e-08  5.91581000e-08  1.20000000e+00  0.00000000e+00 
 3.57684406e-07 -8.43601722e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 3.67684406e-07 -8.43601723e-08  5.91581000e-08  1.20000000e+00  0.00000000e+00 
 3.77684406e-07 -8.43601723e-08  5.91580998e-08  1.20000000e+00  0.00000000e+00 
 3.87684406e-07 -8.43601723e-08  5.91581002e-08  1.20000000e+00  0.00000000e+00 
 3.97684406e-07 -8.43601723e-08  5.91581000e-08  1.20000000e+00  0.00000000e+00 
 4.07684406e-07 -8.43601722e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 4.17684406e-07 -8.43601722e-08  5.91580999e-08  1.20000000e+00  0.00000000e+00 
 4.27684406e-07 -8.43601722e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 4.37684406e-07 -8.43601722e-08  5.91580999e-08  1.20000000e+00  0.00000000e+00 
 4.47684406e-07 -8.43601722e-08  5.91581000e-08  1.20000000e+00  0.00000000e+00 
 4.57684406e-07 -8.43601722e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 4.67684406e-07 -8.43601722e-08  5.91581002e-08  1.20000000e+00  0.00000000e+00 
 4.77684406e-07 -8.43601722e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 4.87684406e-07 -8.43601722e-08  5.91581002e-08  1.20000000e+00  0.00000000e+00 
 4.97684406e-07 -8.43601722e-08  5.91581000e-08  1.20000000e+00  0.00000000e+00 
 5.00000000e-07 -8.43601722e-08  5.91580999e-08  1.20000000e+00  0.00000000e+00 
 5.00010000e-07 -8.43601722e-08  1.65130001e-05  1.20000000e+00  0.00000000e+00 
 5.00030000e-07 -8.43601722e-08 -9.20843238e-06  1.20000000e+00  0.00000000e+00 
 5.00037958e-07 -8.43601722e-08 -1.06221959e-05  1.20000000e+00  0.00000000e+00 
 5.00048238e-07 -8.43601722e-08 -1.68092820e-05  1.20000000e+00  0.00000000e+00 
 5.00056211e-07 -8.43601722e-08 -3.25438833e-05  1.20000000e+00  0.00000000e+00 
 5.00065292e-07 -8.43601722e-08 -2.86558873e-05  1.20000000e+00  0.00000000e+00 
 5.00073297e-07 -8.43601722e-08  1.38706252e-05  1.20000000e+00  0.00000000e+00 
 5.00078127e-07 -8.43601722e-08  3.56105807e-05  1.20000000e+00  0.00000000e+00 
 5.00084945e-07 -8.43601722e-08  3.72702056e-05  1.20000000e+00  0.00000000e+00 
 5.00091228e-07 -8.43601722e-08  2.21224609e-05  1.20000000e+00  0.00000000e+00 
 5.00098814e-07 -8.43601722e-08  5.58262019e-06  1.20000000e+00  0.00000000e+00 
 5.00100000e-07 -8.43601722e-08  3.54087765e-06  1.20000000e+00  0.00000000e+00 
 5.00100390e-07 -8.43601722e-08 -2.10231736e-05  1.19531473e+00  0.00000000e+00 
 5.00101171e-07 -8.43601722e-08 -6.34132960e-05  1.18594418e+00  0.00000000e+00 
 5.00102582e-07 -8.43601722e-08 -8.26499012e-05  1.16901809e+00  0.00000000e+00 
 5.00104409e-07 -8.43601722e-08 -5.27366863e-05  1.14709762e+00  0.00000000e+00 
 5.00108062e-07 -8.43601722e-08  7.12440956e-06  1.10325666e+00  0.00000000e+00 
 5.00115369e-07 -8.43601722e-08  3.46760087e-05  1.01557475e+00  0.00000000e+00 
 5.00126566e-07 -8.43601722e-08  1.36192689e-05  8.81211486e-01  0.00000000e+00 
 5.00135484e-07 -8.43601722e-08 -3.71688580e-07  7.74187154e-01  0.00000000e+00 
 5.00150538e-07 -8.43428380e-08  9.25528428e-06  5.93546789e-01  0.00000000e+00 
 5.00159435e-07 -8.43279057e-08  3.59918126e-05  4.86782779e-01  0.00000000e+00 
 5.00167701e-07 -8.43129435e-08  6.49191888e-05  3.87588060e-01  0.00000000e+00 
 5.00178465e-07 -8.42930263e-08  7.41587944e-05  2.58424680e-01  0.00000000e+00 
 5.00189241e-07 -8.42729204e-08  6.17930936e-05  1.29113721e-01  0.00000000e+00 
 5.00200000e-07 -8.42527801e-08 -4.11872004e-06  0.00000000e+00  0.00000000e+00 
 5.00201294e-07 -8.42503539e-08 -3.29703144e-06  0.00000000e+00  0.00000000e+00 
 5.00203882e-07 -8.42454988e-08 -8.97298332e-05  0.00000000e+00  0.00000000e+00 
 5.00208599e-07 -8.42366339e-08 -3.19987835e-04  0.00000000e+00  0.00000000e+00 
 5.00213546e-07 -8.42273200e-08 -4.67396140e-04  0.00000000e+00  0.00000000e+00 
 5.00219736e-07 -8.42156612e-08 -4.38736037e-04  0.00000000e+00  0.00000000e+00 
 5.00224970e-07 -8.42058140e-08 -2.80668596e-04  0.00000000e+00  0.00000000e+00 
 5.00229931e-07 -8.41964950e-08 -9.98825846e-05  0.00000000e+00  0.00000000e+00 
 5.00234523e-07 -8.41878834e-08  4.34199774e-05  0.00000000e+00  0.00000000e+00 
 5.00238288e-07 -8.41808337e-08  1.79874572e-04  0.00000000e+00  0.00000000e+00 
 5.00242960e-07 -8.41720994e-08  3.29393250e-04  0.00000000e+00  0.00000000e+00 
 5.00248191e-07 -8.41623313e-08  4.19463586e-04  0.00000000e+00  0.00000000e+00 
 5.00252943e-07 -8.41534584e-08  3.81214212e-04  0.00000000e+00  0.00000000e+00 
 5.00257696e-07 -8.41445758e-08  2.48444256e-04  0.00000000e+00  0.00000000e+00 
 5.00264109e-07 -8.41325733e-08  6.74891627e-05  0.00000000e+00  0.00000000e+00 
 5.00270130e-07 -8.41212894e-08 -3.32463901e-05  0.00000000e+00  0.00000000e+00 
 5.00279411e-07 -8.41038815e-08 -7.72973842e-05  0.00000000e+00  0.00000000e+00 
 5.00290182e-07 -8.40836752e-08 -6.11227886e-05  0.00000000e+00  0.00000000e+00 
 5.00305528e-07 -8.40548932e-08 -2.73347546e-05  0.00000000e+00  0.00000000e+00 
